date,nav,meta_fund_house,meta_scheme_type,meta_scheme_category,meta_scheme_code,meta_scheme_name,meta_isin_growth,meta_isin_div_reinvestment
09-06-2026,103.52590,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
08-06-2026,102.48450,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
05-06-2026,103.81020,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
04-06-2026,103.64210,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
03-06-2026,103.48090,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
02-06-2026,103.59590,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
01-06-2026,103.09480,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
31-05-2026,104.30830,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
29-05-2026,104.31290,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
27-05-2026,105.92960,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
26-05-2026,105.51150,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
25-05-2026,105.92170,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
22-05-2026,104.77080,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
21-05-2026,104.49150,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
20-05-2026,104.60460,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
19-05-2026,104.27670,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
18-05-2026,104.15560,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
15-05-2026,104.29180,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
14-05-2026,104.55310,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
13-05-2026,103.39600,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
12-05-2026,103.33840,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
11-05-2026,105.60660,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
08-05-2026,107.15000,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
07-05-2026,107.67290,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
06-05-2026,107.33540,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
05-05-2026,105.83870,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
04-05-2026,105.74490,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
30-04-2026,105.28450,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
29-04-2026,106.06980,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
28-04-2026,105.62120,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
27-04-2026,106.05280,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
24-04-2026,105.09280,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
23-04-2026,106.13010,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
22-04-2026,106.82990,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
21-04-2026,107.24340,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
20-04-2026,106.20630,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
17-04-2026,105.98260,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
16-04-2026,105.11700,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
15-04-2026,104.92590,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
13-04-2026,103.23030,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
10-04-2026,104.13480,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
09-04-2026,102.54940,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
08-04-2026,103.28330,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
07-04-2026,99.38760,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
06-04-2026,98.80140,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
02-04-2026,97.52000,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
01-04-2026,97.71840,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
31-03-2026,96.27530,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
30-03-2026,96.27680,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
27-03-2026,98.67390,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
25-03-2026,100.73190,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
24-03-2026,98.65970,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
23-03-2026,96.71300,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
20-03-2026,99.61420,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
19-03-2026,99.15970,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
18-03-2026,102.45920,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
17-03-2026,101.24960,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
16-03-2026,100.39600,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
13-03-2026,99.71110,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
12-03-2026,101.97180,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
11-03-2026,102.97760,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
10-03-2026,104.75930,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
09-03-2026,103.38820,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
06-03-2026,105.40500,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
05-03-2026,106.72970,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
04-03-2026,105.49280,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
02-03-2026,107.52310,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
28-02-2026,108.93250,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
27-02-2026,108.93450,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
26-02-2026,110.29450,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
25-02-2026,109.92930,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
24-02-2026,109.36810,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
23-02-2026,110.29100,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
20-02-2026,109.52730,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
19-02-2026,109.00910,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
18-02-2026,110.63030,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
17-02-2026,110.08060,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
16-02-2026,109.84440,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
13-02-2026,109.34090,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
12-02-2026,110.53650,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
11-02-2026,110.83920,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
10-02-2026,110.65190,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
09-02-2026,110.38450,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
06-02-2026,109.17560,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
05-02-2026,109.01370,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
04-02-2026,109.28800,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
03-02-2026,109.09550,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
02-02-2026,106.15960,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
31-01-2026,107.18970,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
30-01-2026,107.19180,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
29-01-2026,107.17590,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
28-01-2026,107.02960,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
27-01-2026,105.94500,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
23-01-2026,105.71710,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
22-01-2026,106.87140,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
21-01-2026,106.07310,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
20-01-2026,106.50560,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
19-01-2026,108.36170,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
16-01-2026,108.64460,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
14-01-2026,108.50480,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
13-01-2026,108.84250,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
12-01-2026,108.89310,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
09-01-2026,108.84980,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
08-01-2026,110.05730,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
07-01-2026,111.31060,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
06-01-2026,111.24920,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
05-01-2026,111.18020,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
02-01-2026,111.53570,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
01-01-2026,110.55160,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
31-12-2025,110.24190,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
30-12-2025,109.55060,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
29-12-2025,109.82110,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
26-12-2025,110.26660,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
24-12-2025,110.64850,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
23-12-2025,110.85200,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
22-12-2025,110.78620,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
19-12-2025,110.15340,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
18-12-2025,109.25320,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
17-12-2025,109.30910,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
16-12-2025,109.73920,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
15-12-2025,110.35820,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
12-12-2025,110.51900,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
11-12-2025,109.77620,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
10-12-2025,109.08860,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
09-12-2025,109.70350,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
08-12-2025,109.61410,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
05-12-2025,111.14870,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
04-12-2025,110.84860,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
03-12-2025,110.78130,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
02-12-2025,111.26770,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
01-12-2025,111.63650,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
30-11-2025,111.83110,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
28-11-2025,111.83570,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
27-11-2025,111.81150,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
26-11-2025,111.83550,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
25-11-2025,110.56080,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
24-11-2025,110.66100,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
21-11-2025,111.19180,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
20-11-2025,112.07950,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
19-11-2025,111.70180,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
18-11-2025,111.17690,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
17-11-2025,111.79330,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
14-11-2025,111.20340,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,INF846K01EW2,
